"case_id","case_name","answer_correct","answer_correct_bool","cognitive_load","cognitive_load_std","quality_answer","quality_answer_std","n_reviewers"
73,"Case_073","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
74,"Case_074","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
75,"Case_075","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
76,"Case_076","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
77,"Case_077","yes",TRUE,"High","High","Complete Relevant","Complete Relevant",2
78,"Case_078","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
79,"Case_079","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
80,"Case_080","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
81,"Case_081","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
82,"Case_082","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
83,"Case_083","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
84,"Case_084","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
85,"Case_085","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
86,"Case_086","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
87,"Case_087","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
88,"Case_088","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
89,"Case_089","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
90,"Case_090","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
91,"Case_091","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
92,"Case_092","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
93,"Case_093","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
94,"Case_094","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
95,"Case_095","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
96,"Case_096","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
97,"Case_097","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
98,"Case_098","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
99,"Case_099","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
100,"Case_100","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
101,"Case_101","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
102,"Case_102","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
103,"Case_103","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
104,"Case_104","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
105,"Case_105","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
106,"Case_106","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
107,"Case_107","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
108,"Case_108","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
109,"Case_109","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
110,"Case_110","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
111,"Case_111","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
112,"Case_112","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
113,"Case_113","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
114,"Case_114","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
115,"Case_115","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
116,"Case_116","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
117,"Case_117","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
118,"Case_118","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
119,"Case_119","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
120,"Case_120","yes",TRUE,"High","High","Complete Relevant","Complete Relevant",2
121,"Case_121","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
122,"Case_122","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
123,"Case_123","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
124,"Case_124","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
125,"Case_125","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
126,"Case_126","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
127,"Case_127","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
128,"Case_128","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
129,"Case_129","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
130,"Case_130","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
131,"Case_131","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
132,"Case_132","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
133,"Case_133","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
134,"Case_134","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
135,"Case_135","yes",TRUE,"High","High","Incomplete Relevant","Incomplete Relevant",2
136,"Case_136","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
137,"Case_137","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
138,"Case_138","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
139,"Case_139","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
140,"Case_140","yes",TRUE,"High","High","Incomplete Relevant","Incomplete Relevant",2
141,"Case_141","no",FALSE,"High","High","Incomplete Relevant","Incomplete Relevant",2
142,"Case_142","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
143,"Case_143","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
144,"Case_144","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
145,"Case_145","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
146,"Case_146","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
147,"Case_147","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
148,"Case_148","no",FALSE,"Moderate","Moderate","Incomplete Irrelevant","Incomplete Irrelevant",2
149,"Case_149","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
150,"Case_150","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
