"response_id","case_id","option","diagnostic_result"
309,78,1,"True Positive"
310,78,2,"True Negative"
311,78,3,"True Negative"
312,78,4,"True Negative"
313,79,1,"False Negative"
314,79,2,"False Positive"
315,79,3,"True Negative"
316,79,4,"True Negative"
317,80,1,"False Negative"
318,80,2,"False Positive"
319,80,3,"True Negative"
320,80,4,"True Negative"
321,81,1,"True Positive"
322,81,2,"True Negative"
323,81,3,"True Negative"
324,81,4,"True Negative"
325,82,1,"False Negative"
326,82,2,"False Positive"
327,82,3,"True Negative"
328,82,4,"True Negative"
329,83,1,"True Positive"
330,83,2,"True Negative"
331,83,3,"True Negative"
332,83,4,"True Negative"
333,84,1,"False Negative"
334,84,2,"False Positive"
335,84,3,"True Negative"
336,84,4,"True Negative"
337,85,1,"True Positive"
338,85,2,"True Negative"
339,85,3,"True Negative"
340,85,4,"True Negative"
341,86,1,"True Positive"
342,86,2,"True Negative"
343,86,3,"True Negative"
344,86,4,"True Negative"
345,87,1,"True Positive"
346,87,2,"True Negative"
347,87,3,"True Negative"
348,87,4,"True Negative"
349,88,1,"True Positive"
350,88,2,"True Negative"
351,88,3,"True Negative"
352,88,4,"True Negative"
353,89,1,"False Negative"
354,89,2,"False Positive"
355,89,3,"True Negative"
356,89,4,"True Negative"
357,90,1,"True Positive"
358,90,2,"True Negative"
359,90,3,"True Negative"
360,90,4,"True Negative"
361,91,1,"True Positive"
362,91,2,"True Negative"
363,91,3,"True Negative"
364,91,4,"True Negative"
365,92,1,"False Negative"
366,92,2,"False Positive"
367,92,3,"True Negative"
368,92,4,"True Negative"
369,93,1,"False Negative"
370,93,2,"False Positive"
371,93,3,"True Negative"
372,93,4,"True Negative"
373,94,1,"False Negative"
374,94,2,"False Positive"
375,94,3,"True Negative"
376,94,4,"True Negative"
377,95,1,"True Positive"
378,95,2,"True Negative"
379,95,3,"True Negative"
380,95,4,"True Negative"
381,96,1,"True Positive"
382,96,2,"True Negative"
383,96,3,"True Negative"
384,96,4,"True Negative"
385,97,1,"True Positive"
386,97,2,"True Negative"
387,97,3,"True Negative"
388,97,4,"True Negative"
389,98,1,"True Positive"
390,98,2,"True Negative"
391,98,3,"True Negative"
392,98,4,"True Negative"
393,99,1,"True Positive"
394,99,2,"True Negative"
395,99,3,"True Negative"
396,99,4,"True Negative"
397,100,1,"False Negative"
398,100,2,"False Positive"
399,100,3,"True Negative"
400,100,4,"True Negative"
401,101,1,"False Negative"
402,101,2,"False Positive"
403,101,3,"True Negative"
404,101,4,"True Negative"
405,102,1,"False Negative"
406,102,2,"False Positive"
407,102,3,"True Negative"
408,102,4,"True Negative"
409,103,1,"True Positive"
410,103,2,"True Negative"
411,103,3,"True Negative"
412,103,4,"True Negative"
413,104,1,"True Positive"
414,104,2,"True Negative"
415,104,3,"True Negative"
416,104,4,"True Negative"
417,105,1,"True Positive"
418,105,2,"True Negative"
419,105,3,"True Negative"
420,105,4,"True Negative"
421,106,1,"True Positive"
422,106,2,"True Negative"
423,106,3,"True Negative"
424,106,4,"True Negative"
425,107,1,"False Negative"
426,107,2,"False Positive"
427,107,3,"True Negative"
428,107,4,"True Negative"
429,108,1,"False Negative"
430,108,2,"False Positive"
431,108,3,"True Negative"
432,108,4,"True Negative"
433,109,1,"True Positive"
434,109,2,"True Negative"
435,109,3,"True Negative"
436,109,4,"True Negative"
437,110,1,"False Negative"
438,110,2,"False Positive"
439,110,3,"True Negative"
440,110,4,"True Negative"
441,111,1,"True Positive"
442,111,2,"True Negative"
443,111,3,"True Negative"
444,111,4,"True Negative"
445,112,1,"False Negative"
446,112,2,"False Positive"
447,112,3,"True Negative"
448,112,4,"True Negative"
449,113,1,"False Negative"
450,113,2,"False Positive"
451,113,3,"True Negative"
452,113,4,"True Negative"
453,114,1,"False Negative"
454,114,2,"False Positive"
455,114,3,"True Negative"
456,114,4,"True Negative"
457,115,1,"False Negative"
458,115,2,"False Positive"
459,115,3,"True Negative"
460,115,4,"True Negative"
461,116,1,"False Negative"
462,116,2,"False Positive"
463,116,3,"True Negative"
464,116,4,"True Negative"
465,117,1,"True Positive"
466,117,2,"True Negative"
467,117,3,"True Negative"
468,117,4,"True Negative"
469,118,1,"False Negative"
470,118,2,"False Positive"
471,118,3,"True Negative"
472,118,4,"True Negative"
473,119,1,"False Negative"
474,119,2,"False Positive"
475,119,3,"True Negative"
476,119,4,"True Negative"
477,120,1,"True Positive"
478,120,2,"True Negative"
479,120,3,"True Negative"
480,120,4,"True Negative"
481,121,1,"False Negative"
482,121,2,"False Positive"
483,121,3,"True Negative"
484,121,4,"True Negative"
485,122,1,"True Positive"
486,122,2,"True Negative"
487,122,3,"True Negative"
488,122,4,"True Negative"
489,123,1,"True Positive"
490,123,2,"True Negative"
491,123,3,"True Negative"
492,123,4,"True Negative"
493,124,1,"False Negative"
494,124,2,"False Positive"
495,124,3,"True Negative"
496,124,4,"True Negative"
497,125,1,"True Positive"
498,125,2,"True Negative"
499,125,3,"True Negative"
500,125,4,"True Negative"
501,126,1,"False Negative"
502,126,2,"False Positive"
503,126,3,"True Negative"
504,126,4,"True Negative"
505,127,1,"True Positive"
506,127,2,"True Negative"
507,127,3,"True Negative"
508,127,4,"True Negative"
509,128,1,"True Positive"
510,128,2,"True Negative"
511,128,3,"True Negative"
512,128,4,"True Negative"
513,129,1,"True Positive"
514,129,2,"True Negative"
515,129,3,"True Negative"
516,129,4,"True Negative"
517,130,1,"False Negative"
518,130,2,"False Positive"
519,130,3,"True Negative"
520,130,4,"True Negative"
521,131,1,"True Positive"
522,131,2,"True Negative"
523,131,3,"True Negative"
524,131,4,"True Negative"
525,132,1,"True Positive"
526,132,2,"True Negative"
527,132,3,"True Negative"
528,132,4,"True Negative"
529,133,1,"True Positive"
530,133,2,"True Negative"
531,133,3,"True Negative"
532,133,4,"True Negative"
533,134,1,"False Negative"
534,134,2,"False Positive"
535,134,3,"True Negative"
536,134,4,"True Negative"
537,135,1,"True Positive"
538,135,2,"True Negative"
539,135,3,"True Negative"
540,135,4,"True Negative"
541,136,1,"True Positive"
542,136,2,"True Negative"
543,136,3,"True Negative"
544,136,4,"True Negative"
545,137,1,"True Positive"
546,137,2,"True Negative"
547,137,3,"True Negative"
548,137,4,"True Negative"
549,138,1,"True Positive"
550,138,2,"True Negative"
551,138,3,"True Negative"
552,138,4,"True Negative"
553,139,1,"False Negative"
554,139,2,"False Positive"
555,139,3,"True Negative"
556,139,4,"True Negative"
557,140,1,"True Positive"
558,140,2,"True Negative"
559,140,3,"True Negative"
560,140,4,"True Negative"
561,141,1,"False Negative"
562,141,2,"False Positive"
563,141,3,"True Negative"
564,141,4,"True Negative"
565,142,1,"False Negative"
566,142,2,"False Positive"
567,142,3,"True Negative"
568,142,4,"True Negative"
569,143,1,"True Positive"
570,143,2,"True Negative"
571,143,3,"True Negative"
572,143,4,"True Negative"
573,144,1,"True Positive"
574,144,2,"True Negative"
575,144,3,"True Negative"
576,144,4,"True Negative"
577,145,1,"True Positive"
578,145,2,"True Negative"
579,145,3,"True Negative"
580,145,4,"True Negative"
581,146,1,"True Positive"
582,146,2,"True Negative"
583,146,3,"True Negative"
584,146,4,"True Negative"
585,147,1,"True Positive"
586,147,2,"True Negative"
587,147,3,"True Negative"
588,147,4,"True Negative"
589,148,1,"False Negative"
590,148,2,"False Positive"
591,148,3,"True Negative"
592,148,4,"True Negative"
593,149,1,"True Positive"
594,149,2,"True Negative"
595,149,3,"True Negative"
596,149,4,"True Negative"
597,150,1,"False Negative"
598,150,2,"False Positive"
599,150,3,"True Negative"
600,150,4,"True Negative"
