"case_name","answer_correct","cognitive_load","quality_answer","reviewer","diagnostic_accuracy"
"Case_094","no","Low","Complete Relevant","R1","False Negative"
"Case_095","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_096","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_097","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_098","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_099","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_100","no","Low","Complete Relevant","R1","False Negative"
"Case_101","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_102","no","Low","Complete Relevant","R1","False Negative"
"Case_103","yes","Low","Complete Relevant","R1","True Positive"
"Case_104","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_105","yes","Low","Complete Relevant","R1","True Positive"
"Case_106","yes","Low","Complete Relevant","R1","True Positive"
"Case_107","no","Low","Complete Relevant","R1","False Negative"
"Case_108","no","Low","Complete Relevant","R1","False Negative"
"Case_109","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_110","no","Low","Incomplete Relevant","R1","False Negative"
"Case_111","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_112","no","Low","Complete Relevant","R1","False Negative"
"Case_113","no","Low","Incomplete Relevant","R1","False Negative"
"Case_114","no","Moderate","Complete Relevant","R1","False Negative"
"Case_115","no","Moderate","Complete Relevant","R1","False Negative"
"Case_116","no","Moderate","Complete Relevant","R1","False Negative"
"Case_117","yes","Low","Complete Relevant","R1","True Positive"
"Case_118","no","Low","Complete Relevant","R1","False Negative"
"Case_119","no","Low","Incomplete Relevant","R1","False Negative"
"Case_120","yes","High","Complete Relevant","R1","True Positive"
"Case_121","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_122","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_123","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_124","no","Moderate","Complete Relevant","R1","False Negative"
"Case_125","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_126","no","Moderate","Complete Relevant","R1","False Negative"
"Case_127","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_128","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_129","yes","Low","Complete Relevant","R1","True Positive"
"Case_130","no","Low","Incomplete Relevant","R1","False Negative"
"Case_131","yes","Low","Complete Relevant","R1","True Positive"
"Case_132","yes","Low","Complete Relevant","R1","True Positive"
"Case_133","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_134","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_135","yes","High","Incomplete Relevant","R1","True Positive"
"Case_136","yes","Low","Complete Relevant","R1","True Positive"
"Case_137","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_138","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_139","no","Low","Incomplete Relevant","R1","False Negative"
"Case_140","yes","High","Incomplete Relevant","R1","True Positive"
"Case_141","no","High","Incomplete Relevant","R1","False Negative"
"Case_142","no","Low","Complete Relevant","R1","False Negative"
"Case_143","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_144","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_145","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_146","yes","Low","Complete Relevant","R1","True Positive"
"Case_147","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_148","no","Moderate","Incomplete Irrelevant","R1","False Negative"
"Case_149","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_150","no","Low","Complete Relevant","R1","False Negative"
"Case_001","yes","Low","Complete Relevant","R2","True Positive"
"Case_002","yes","Low","Complete Relevant","R2","True Positive"
"Case_003","no","Low","Incomplete Relevant","R2","False Negative"
"Case_004","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_005","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_006","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_007","no","Moderate","Complete Relevant","R2","False Negative"
"Case_008","no","Low","Complete Relevant","R2","False Negative"
"Case_009","no","Moderate","Complete Relevant","R2","False Negative"
"Case_010","no","Low","Complete Relevant","R2","False Negative"
"Case_011","no","Low","Incomplete Relevant","R2","False Negative"
"Case_012","no","High","Incomplete Relevant","R2","False Negative"
"Case_013","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_014","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_015","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_016","no","Moderate","Incomplete Irrelevant","R2","False Negative"
"Case_017","no","High","Complete Relevant","R2","False Negative"
"Case_018","no","Low","Complete Relevant","R2","False Negative"
"Case_019","no","Low","Incomplete Relevant","R2","False Negative"
"Case_020","no","Low","Complete Relevant","R2","False Negative"
"Case_021","no","Low","Incomplete Relevant","R2","False Negative"
"Case_022","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_023","no","Moderate","Complete Relevant","R2","False Negative"
"Case_024","no","High","Incomplete Irrelevant","R2","False Negative"
"Case_025","no","Low","Incomplete Relevant","R2","False Negative"
"Case_026","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_027","yes","High","Complete Relevant","R2","True Positive"
"Case_028","yes","Low","Complete Relevant","R2","True Positive"
"Case_029","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_030","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_031","yes","High","Incomplete Relevant","R2","True Positive"
"Case_032","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_033","no","Moderate","Complete Relevant","R2","False Negative"
"Case_034","no","Moderate","Complete Relevant","R2","False Negative"
"Case_035","no","Low","Incomplete Relevant","R2","False Negative"
"Case_036","no","Moderate","Complete Relevant","R2","False Negative"
"Case_037","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_038","no","Low","Complete Relevant","R2","False Negative"
"Case_039","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_040","no","Low","Incomplete Relevant","R2","False Negative"
"Case_041","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_042","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_043","no","Low","Complete Relevant","R2","False Negative"
"Case_044","yes","Low","Complete Relevant","R2","True Positive"
"Case_045","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_046","no","High","Incomplete Relevant","R2","False Negative"
"Case_047","no","Moderate","Complete Relevant","R2","False Negative"
"Case_048","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_049","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_050","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_051","yes","Low","Complete Relevant","R2","True Positive"
"Case_052","no","Low","Complete Relevant","R2","False Negative"
"Case_053","no","Moderate","Incomplete Irrelevant","R2","False Negative"
"Case_054","yes","Low","Complete Relevant","R2","True Positive"
"Case_055","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_056","no","Moderate","Complete Relevant","R2","False Negative"
"Case_057","yes","Low","Incomplete Irrelevant","R2","True Positive"
"Case_058","yes","Moderate","Incomplete Irrelevant","R2","True Positive"
"Case_059","no","Low","Complete Relevant","R2","False Negative"
"Case_060","no","Low","Incomplete Relevant","R2","False Negative"
"Case_061","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_062","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_063","yes","High","Complete Relevant","R2","True Positive"
"Case_064","no","Low","Complete Relevant","R2","False Negative"
"Case_065","no","Moderate","Complete Relevant","R2","False Negative"
"Case_066","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_067","yes","Moderate","Incomplete Irrelevant","R2","True Positive"
"Case_068","no","Low","Incomplete Irrelevant","R2","False Negative"
"Case_069","no","Low","Complete Relevant","R2","False Negative"
"Case_070","no","Moderate","Complete Relevant","R2","False Negative"
"Case_071","yes","Low","Complete Relevant","R2","True Positive"
"Case_072","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_073","no","Low","Incomplete Relevant","R2","False Negative"
"Case_074","no","Low","Incomplete Relevant","R2","False Negative"
"Case_075","yes","Low","Complete Relevant","R2","True Positive"
"Case_076","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_077","yes","High","Complete Relevant","R2","True Positive"
"Case_078","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_079","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_080","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_081","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_082","no","Low","Incomplete Relevant","R2","False Negative"
"Case_083","yes","Low","Complete Relevant","R2","True Positive"
"Case_084","no","Low","Complete Relevant","R2","False Negative"
"Case_085","yes","Low","Complete Relevant","R2","True Positive"
"Case_086","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_087","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_088","yes","Low","Complete Relevant","R2","True Positive"
"Case_089","no","Low","Complete Relevant","R2","False Negative"
"Case_090","yes","Low","Complete Relevant","R2","True Positive"
"Case_091","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_092","no","Low","Complete Relevant","R2","False Negative"
"Case_093","no","Moderate","Complete Relevant","R2","False Negative"
"Case_094","no","Low","Complete Relevant","R2","False Negative"
"Case_095","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_096","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_097","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_098","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_099","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_100","no","Low","Complete Relevant","R2","False Negative"
"Case_101","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_102","no","Low","Complete Relevant","R2","False Negative"
"Case_103","yes","Low","Complete Relevant","R2","True Positive"
"Case_104","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_105","yes","Low","Complete Relevant","R2","True Positive"
"Case_106","yes","Low","Complete Relevant","R2","True Positive"
"Case_107","no","Low","Complete Relevant","R2","False Negative"
"Case_108","no","Low","Complete Relevant","R2","False Negative"
"Case_109","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_110","no","Low","Incomplete Relevant","R2","False Negative"
"Case_111","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_112","no","Low","Complete Relevant","R2","False Negative"
"Case_113","no","Low","Incomplete Relevant","R2","False Negative"
"Case_114","no","Moderate","Complete Relevant","R2","False Negative"
"Case_115","no","Moderate","Complete Relevant","R2","False Negative"
"Case_116","no","Moderate","Complete Relevant","R2","False Negative"
"Case_117","yes","Low","Complete Relevant","R2","True Positive"
"Case_118","no","Low","Complete Relevant","R2","False Negative"
"Case_119","no","Low","Incomplete Relevant","R2","False Negative"
"Case_120","yes","High","Complete Relevant","R2","True Positive"
"Case_121","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_122","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_123","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_124","no","Moderate","Complete Relevant","R2","False Negative"
"Case_125","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_126","no","Moderate","Complete Relevant","R2","False Negative"
"Case_127","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_128","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_129","yes","Low","Complete Relevant","R2","True Positive"
"Case_130","no","Low","Incomplete Relevant","R2","False Negative"
"Case_131","yes","Low","Complete Relevant","R2","True Positive"
"Case_132","yes","Low","Complete Relevant","R2","True Positive"
"Case_133","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_134","no","Moderate","Incomplete Relevant","R2","False Negative"
"Case_135","yes","High","Incomplete Relevant","R2","True Positive"
"Case_136","yes","Low","Complete Relevant","R2","True Positive"
"Case_137","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_138","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_139","no","Low","Incomplete Relevant","R2","False Negative"
"Case_140","yes","High","Incomplete Relevant","R2","True Positive"
"Case_141","no","High","Incomplete Relevant","R2","False Negative"
"Case_142","no","Low","Complete Relevant","R2","False Negative"
"Case_143","yes","Moderate","Complete Relevant","R2","True Positive"
"Case_144","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_145","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_146","yes","Low","Complete Relevant","R2","True Positive"
"Case_147","yes","Low","Incomplete Relevant","R2","True Positive"
"Case_148","no","Moderate","Incomplete Irrelevant","R2","False Negative"
"Case_149","yes","Moderate","Incomplete Relevant","R2","True Positive"
"Case_150","no","Low","Complete Relevant","R2","False Negative"
